"index","nodule_a_id","nodule_b_id","Input Volume","Output Volume","Generated Volume","Dice Score"
"1","1_10005319966474964_1","1_10005319966474964_1","108.7646484375","120.81527709960938","103.82080078125","0.7455295920372009"
"2","2_10005319966474964_1","2_10005319966474964_1","612.4191284179688","1231.01806640625","598.20556640625","0.44763514399528503"
"3","3_10005319966474964_1","3_10005319966474964_1","160.675048828125","148.3154296875","182.30438232421875","0.7757009267807007"
"4","2_10010801832280547_0","2_10010801832280547_0","199.60784912109375","407.5584411621094","237.61367797851562","4.789271756955316e-10"
"5","2_10010813134704317_1","2_10010813134704317_1","407.5584411621094","597.5875854492188","685.3408813476562","0.7048627734184265"
"6","2_10014811073173308_1","2_10014811073173308_1","62.725067138671875","97.02301025390625","64.57901000976562","0.7151051759719849"
"7","1_10035302121522082_0","1_10035302121522082_0","92.6971435546875","114.63546752929688","92.07916259765625","0.7414050698280334"
"8","1_10035313355298917_1","1_10035313355298917_1","114.63546752929688","146.15249633789062","113.09051513671875","0.6428571343421936"
"9","1_10047201281999714_0","1_10047201281999714_0","77.55661010742188","56.854248046875","82.50045776367188","0.6563193202018738"
"10","1_10047211468160180_1","1_10047211468160180_1","56.854248046875","61.798095703125","56.854248046875","0.734375"
"11","2_10047201281999714_0","2_10047201281999714_0","87.7532958984375","119.8883056640625","90.2252197265625","0.7422680258750916"
"12","2_10047211468160180_1","2_10047211468160180_1","119.8883056640625","117.4163818359375","120.19729614257812","0.7074122428894043"
"13","2_10052602335591356_0","2_10052602335591356_0","264.8048400878906","248.11935424804688","270.9846496582031","0.7214285731315613"
"14","2_10052611958117733_1","2_10052611958117733_1","248.11935424804688","298.7937927246094","259.8609924316406","0.6913716793060303"
"15","1_10065403349912635_0","1_10065403349912635_0","33.98895263671875","75.3936767578125","35.22491455078125","0.3016759753227234"
"16","1_10065419841404833_1","1_10065419841404833_1","75.3936767578125","62.41607666015625","74.15771484375","0.6636568903923035"
"17","1_10067908904570659_0","1_10067908904570659_0","80.64651489257812","88.06228637695312","80.95550537109375","0.7422303557395935"
"18","2_10067908904570659_0","2_10067908904570659_0","143.06259155273438","153.56826782226562","139.6636962890625","0.9113923907279968"
"19","5_10067908904570659_0","5_10067908904570659_0","177.05154418945312","195.281982421875","176.7425537109375","0.880398690700531"
"20","6_10067908904570659_0","6_10067908904570659_0","144.6075439453125","374.1874694824219","143.98956298828125","0.13595706224441528"
"21","7_10067908904570659_0","7_10067908904570659_0","108.7646484375","410.0303649902344","143.37158203125","0.10173281282186508"
"22","12_10067908904570659_0","12_10067908904570659_0","217.83828735351562","192.19207763671875","208.8775634765625","0.7349768877029419"
"23","1_10070112483408641_1","1_10070112483408641_1","86.20834350585938","148.93341064453125","86.20834350585938","0.5834428668022156"
"24","3_10070112483408641_1","3_10070112483408641_1","127.61306762695312","218.45626831054688","110.92758178710938","0.6078799366950989"
"25","1_10071113387922352_1","1_10071113387922352_1","37.078857421875","111.236572265625","34.60693359375","0.4449152648448944"
"26","1_10074601259212176_0","1_10074601259212176_0","51.29241943359375","77.55661010742188","49.747467041015625","0.5679611563682556"
"27","1_10074616019311728_1","1_10074616019311728_1","77.55661010742188","83.73641967773438","76.32064819335938","0.5868725776672363"
"28","1_10075902406808791_0","1_10075902406808791_0","162.83798217773438","319.49615478515625","170.87173461914062","0.62129807472229"
